date,time,devname,devid,eventtime,tz,logid,type,subtype,level,vd,srcip,srcport,srcintf,srcintfrole,dstip,dstport,dstintf,dstintfrole,srccountry,dstcountry,sessionid,proto,action,policyid,policytype,poluuid,user,group,service,appid,app,appcat,apprisk,applist,agent,direction,eventtype,hostname,httpmethod,incidentserialno,msg,scertcname,scertissuer,url
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801196178793,+0700,1059028704,utm,app-ctrl,information,root,192.168.0.7,50760,port11,lan,110.238.109.205,443,port1,wan,Reserved,Singapore,3233225543,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,15895,SSL,Network.Service,elevated,BLOKIR,,outgoing,signature,ai-sg.wps.com,,886304193,Network.Service:,*.wps.com,GeoTrust,/
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801196187919,+0700,1059028704,utm,app-ctrl,information,root,192.168.0.7,50760,port11,lan,110.238.109.205,443,port1,wan,Reserved,Singapore,3233225543,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,41540,SSL_TLSv1.2,Network.Service,medium,BLOKIR,,incoming,signature,ai-sg.wps.com,,886304201,Network.Service:,*.wps.com,GeoTrust,/
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801225442432,+0700,1059028705,utm,app-ctrl,warning,root,100.101.100.86,44788,port16,lan,31.13.95.40,443,port2,wan,Reserved,Indonesia,3233225591,6,block,96,policy,460748da-8159-51ef-3997-37c5ecc09007,1760,WHS-STAFF,SSL,15832,Facebook,Social.Media,medium,BLOK-IT,,outgoing,signature,z-m-gateway.facebook.com,,886304214,Social.Media:,,,/
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801232219118,+0700,1059028704,utm,app-ctrl,information,root,192.168.0.7,50764,port11,lan,110.238.109.205,443,port2,wan,Reserved,Singapore,3233225549,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,15895,SSL,Network.Service,elevated,BLOKIR,,outgoing,signature,ai-sg.wps.com,,886304198,Network.Service:,*.wps.com,GeoTrust,/
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801747931091,+0700,1059028705,utm,app-ctrl,warning,root,100.101.102.7,49318,port16,lan,118.98.30.141,443,port2,wan,Reserved,Indonesia,3233226414,17,block,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,TR010,WHS-OPERATOR,HTTPS,40169,QUIC,Network.Service,low,WHS-Block,,outgoing,signature,,,886304244,Network.Service:,,,/
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801760729095,+0700,1059028704,utm,app-ctrl,information,root,192.168.1.71,53401,port11,lan,20.50.201.200,443,port1,wan,Reserved,Netherlands,3233225634,6,pass,39,policy,0908d382-bf52-51ee-c0da-c7e08e467a4a,,,SSL,41469,Microsoft.Portal,Collaboration,elevated,BLOKIR,,outgoing,signature,self.events.data.microsoft.com,,886304228,Collaboration:,*.events.data.microsoft.com,,/
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801237248454,+0700,1059028704,utm,app-ctrl,information,root,100.101.102.42,40982,port16,lan,34.96.106.127,443,port1,wan,Reserved,United,3233225480,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,partroompb1,WHS-OPERATOR,SSL,15895,SSL,Network.Service,elevated,WHS-Block,,outgoing,signature,,,886304216,Network.Service:,,,
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801285404102,+0700,1059028704,utm,app-ctrl,information,root,100.101.97.112,64388,port16,lan,23.214.169.20,443,port2,wan,Reserved,Indonesia,3233225654,6,pass,96,policy,460748da-8159-51ef-3997-37c5ecc09007,9685,WHS-STAFF,HTTPS,15895,SSL,Network.Service,elevated,BLOK-IT,,outgoing,signature,,,886304218,Network.Service:,,,
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801318503469,+0700,1059028704,utm,app-ctrl,information,root,100.101.97.112,64388,port16,lan,23.214.169.20,443,port2,wan,Reserved,Indonesia,3233225654,6,pass,96,policy,460748da-8159-51ef-3997-37c5ecc09007,9685,WHS-STAFF,SSL,38993,Acrobat.Cloud,Storage.Backup,medium,BLOK-IT,,outgoing,signature,acrobat.adobe.com,,886304219,Storage.Backup:,static.adobesigncdn.com,,/
2025-09-24,07:10:01,Kutai_Timber_Indonesia,FG4H1FT923900872,1758697801479837244,+0700,1059028704,utm,app-ctrl,information,root,100.101.102.42,40986,port16,lan,34.96.106.127,443,port1,wan,Reserved,United,3233225660,6,pass,92,policy,41312dcc-7f00-51ef-95bb-b87aefd4a517,partroompb1,WHS-OPERATOR,SSL,15895,SSL,Network.Service,elevated,WHS-Block,,outgoing,signature,,,886304231,Network.Service:,,,
